date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),SELANGOR,118,29011,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN,49,11709,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),JOHOR,63,10893,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),NEGERI SEMBILAN,21,4344,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),SABAH,12,4124,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),PERAK,5,2079,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),KELANTAN,5,1543,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),PULAU PINANG,6,1069,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),PAHANG,3,769,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),SARAWAK,5,744,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),KEDAH,0,679,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),MELAKA,4,573,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),TERENGGANU,3,325,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),PERLIS,0,175,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
2026-09-12,2026,36,ME 36/2026 (06/09 - 12/09),MALAYSIA,294,68052,2026-01-04,2026-09-12,2026-09-13T12:47:03.888684+08:00
