date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),SELANGOR,88,30039,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN,14,12055,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),JOHOR,45,11490,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),NEGERI SEMBILAN,17,4548,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),SABAH,10,4237,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),PERAK,9,2184,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),KELANTAN,20,1643,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),PULAU PINANG,2,1106,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),PAHANG,9,803,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),SARAWAK,11,799,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),KEDAH,3,696,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),MELAKA,4,599,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),TERENGGANU,7,386,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),PERLIS,1,181,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
2026-09-21,2026,38,ME 38/2026 (20/09 - 26/09),MALAYSIA,240,70781,2026-01-04,2026-09-21,2026-09-22T12:48:35.874291+08:00,idengue_official
