date,epid_year,epid_week,epid_week_label,state,daily_cases,cumulative_cases,cumulative_start_date,cumulative_end_date,scraped_at,data_source
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),SELANGOR,116,30155,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN,37,12092,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),JOHOR,47,11537,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),NEGERI SEMBILAN,26,4574,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),SABAH,12,4249,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),PERAK,12,2196,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),KELANTAN,16,1659,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),PULAU PINANG,3,1109,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),PAHANG,3,806,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),SARAWAK,2,801,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),KEDAH,3,699,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),MELAKA,3,602,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),TERENGGANU,6,392,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),PERLIS,1,182,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),WILAYAH PERSEKUTUAN LABUAN,0,15,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
2026-09-22,2026,38,ME 38/2026 (20/09 - 26/09),MALAYSIA,287,71068,2026-01-04,2026-09-22,2026-09-23T17:56:26.683739+08:00,idengue_official
